name,lat,lon,住所,施設種別,対応している災害の種別
美山小学校,35.6909329,139.2483168,東京都八王子市美山町1892,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
楢原小学校,35.6755713,139.307395,東京都八王子市楢原町1287－2,一時避難場所・避難所,地震
松枝小学校,35.6851367,139.3022952,東京都八王子市楢原町601－13,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
加住小中学校　本校舎,35.7019684,139.3168628,東京都八王子市加住町1－191,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由井第一小学校,35.645793,139.3562971,東京都八王子市打越町348－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由井第二小学校,35.6366075,139.3382101,東京都八王子市片倉町2180,一時避難場所・避難所,地震
由井第三小学校,35.642787,139.327819,東京都八王子市小比企町1201,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
長沼小学校,35.6424712,139.3654605,東京都八王子市長沼町707－3,一時避難場所・避難所,地震
片倉台小学校,35.6313112,139.3461152,東京都八王子市片倉町1318,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
高嶺小学校,35.6284006,139.3507372,東京都八王子市北野台4－21－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
みなみ野小学校（みなみ野小中学校）,35.6328271,139.3233061,東京都八王子市みなみ野6－14－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
みなみ野君田小学校,35.627178,139.324846,東京都八王子市みなみ野4-3-1,一時避難場所・避難所,地震
七国小学校,35.6207126,139.3207043,東京都八王子市七国5－27－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
浅川小学校,35.640287,139.2821207,東京都八王子市初沢町1335,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
東浅川小学校,35.643145,139.28622,東京都八王子市東浅川町550－22,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由木中央小学校,35.6299893,139.3834015,東京都八王子市下柚木25,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
由木東小学校,35.6334395,139.407941,東京都八王子市東中野1347,一時避難場所・避難所,地震
由木西小学校,35.6231374,139.3614006,東京都八王子市上柚木538－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
鹿島小学校,35.6335373,139.4260894,東京都八王子市鹿島13,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
松が谷小学校,35.6283542,139.4136823,東京都八王子市松が谷12,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
中山小学校,35.6256704,139.3584395,東京都八王子市中山1155,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
柏木小学校,35.609823,139.382724,東京都八王子市南大沢3－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
南大沢小学校,35.6082392,139.3744641,東京都八王子市南大沢4－18,一時避難場所・避難所,地震
宮上小学校,35.610225,139.3713504,東京都八王子市南大沢5－10,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
秋葉台小学校,35.624609,139.405254,東京都八王子市別所2－5,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
別所小学校,35.614656,139.395527,東京都八王子市別所2－44,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
愛宕小学校,35.6191323,139.373136,東京都八王子市上柚木3－20,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
松木小学校,35.621871,139.3934482,東京都八王子市松木57－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
下柚木小学校,35.6225708,139.380877,東京都八王子市下柚木3－9,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
上柚木小学校,35.6159716,139.3689115,東京都八王子市上柚木3－15,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
長池小学校,35.6107611,139.3884406,東京都八王子市別所1-55,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
鑓水小学校,35.6126859,139.3636259,東京都八王子市鑓水2－74,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第一中学校,35.6700151,139.3613236,東京都八王子市石川町2957－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
